Ragione sociale;Partita iva o CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Forma giuridica;Legale Cognome;Legale Nome;Referente;Referente Email;Data convenzione;Scadenza convenzione
EDITRICE VIMERCATESE SRL;;VIA VISCONTI, 37;MONZA;20900;MB;ITALIA;0399989224;diana.cariani@netweek.it;;;;BAIGUINI;ANGELO;;;;
EF EDUCATION SRL;02033760154;VIA BORGOGNA N. 8;MILANO;20100;MI;ITALIA;02/87317324-335433612;claudia.fraccalvieri@ef.com;85.59.30;Scuole e corsi di lingua;;ANGUAS JIMENEZ;EVA NATALIA;;;;
EFFEBI UFFICIO SAS;02114550961;VIA VITTORIO VENETO 58;MACHERIO;20846;MB;ITALIA;392010746;;;;;CATTANEO;RITA;;;;
ELABORAZIONI DATI CONTABILI SRL;02306890969;VIA MONTI E TOGNETTI 7;MONZA;20900;MB;ITALIA;;edcsrl@hotmail.com;63.11.19;Altre elaborazioni elettroniche di dati;;SALA;GIANCARLO;;;03-06-2021;03-06-2022
ELCODATA SRL;07668870152;VIA LIBERTA' 89;CONCOREZZO;20863;MB;ITALIA;0396049094;ylena@studioelcodata.it;;;;FERRARIO;YLENA ESTER;;;18-01-2019;18-01-2020
ELESA SPA;01686450154;VIA POMPEI, 29;MONZA;20900;MB;ITALIA;039.2811334;info@elesa.com;22.29.09;Fabbricazione di altri articoli in materie plastiche nca;;BERTANI;CARLO;;;15-06-2021;15-06-2022
ELISABETTA BORRINI;06933150960;VIA LAMBRO 80;MACHERIO;20846;MB;ITALIA;3474436050;ELISABETTA@STUDIOBORRINI.INFO;70.22.09;Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;;BORRINI;ELISABETTA;ELISABETTA BORRINI;ELISABETTA@STUDIOBORRINI.INFO;04-04-2022;03-04-2023
EM SOLUZIONI SRL;02242610166;VIA HOEPLI 3C;MILANO;20100;MI;ITALIA;0286915041;info@jacons.com;;;;IORIO;JOHN;;;;
EMERGENCY ONG ONLUS;06631330963;VIA S. CROCE 19;MILANO;20122;MI;ITALIA;02863161;alternanza.scuola@emergency.it;889042;;;MICCIO;ROSA;CHIARA VALLANIA;;;
EMERLAB TRIPLAE SRL;07250580961;VIA CRISTOFORO COLOMBO, 10;MONZA;20900;MB;ITALIA;;amministrazione@triplae.it;70.22.09;Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;;POZZI;DANILO;;;;
EMME PROFUMI SRL;;VIA GALILEI, 41;BURAGO DI MOLGORA;20875;MB;ITALIA;039660617;info@emmeprofumi.it;;;;MAURI;ELENA;;;;
EMMECI PARTNERS E ASSOCIATI;09153940961;VIA VELLEIA 5;MONZA;20900;MB;ITALIA;0395169200;caliendo@mcpa.it;69.20.11;Servizi forniti da dottori commercialisti;;CALIENDO;MAURIZIO MARIA;;;10-01-2018;09-01-2019
ENERGY SAVING SPA;13016440151;VIA LECCO 43;MONZA;20900;MB;ITALIA;0393900070;amministrazione@energysaving.it;74.90.93;Altre attività di consulenza tecnica nca;;PELIZZARI;PAOLO;;;26-04-2022;26-04-2023
ENGEL ITALIA S.R.L.;00759620214;VIA ROVERETO 11;VIMERCATE;20871;MB;ITALIA;0396256622;viviana.galliani@engel.at;;;;TERRAGNI;MATTEO;;;;
ENPA - ENTE NAZIONALE PROTEZIONE ANIMALI SEZIONE MONZA E BRIANZA;02125341004;VIA LECCO 164;MONZA;20900;MB;ITALIA;3398344803;genova@enpa.org;94.99.6;Attività di organizzazioni per la promozione e la difesa degli animali e dell'ambiente;;RIVA;GIORGIO;;;09-11-2021;09-11-2022
EQUISTASI S.R.L.;069700240963;VIA PORTA 64;GORGONZOLA;20064;MI;ITALIA;0295138354;;46.46.3;Commercio all'ingrosso di articoli medicali ed ortopedici;;BARONI;MICHELA;;;;
ERNEST SPA;0000924128096;CORSO GARIBALDI 86;MILANO;20121;MI;ITALIA;028983761;darine.osman@ernestairlines.com;51.10.1;Trasporto aereo di linea di passeggeri;;EL TANNIR;CHADY;;;13-03-2018;12-03-2019
ESE ENGINEERING SERVICES FOR ENERGY;IT10684140154;CORSO MAGENTA,85;MILANO;20100;MI;ITALIA;;davide.franzini@esesrl.com;71.1;ATTIVITÀ DEGLI STUDI DI ARCHITETTURA, INGEGNERIA ED ALTRI STUDI TECNICI;;FALDINI;FRANCO;;;08-06-2018;07-06-2019
ETA BETA SERVIZI SRL;4714480961;VIA DELLA MADONNINA,6/1;BERNAREGGIO;20881;MB;ITALIA;039/9711250;;82.99.99;;;DU MARCO;DEBORAH;;;;
EUROFINANZIARIA;03692290962;VIALE ANDREA DORIA 22;MILANO;20124;MI;ITALIA;0267411411;hm.doriagrandhotel@adihotels.com;55.10;Alberghi e strutture simili;SPA;BERTOLIO;LUIGI ANDREA;;;;
EUROHOTEL-RESIDENCE;5006880966;VIA MONZA, 27;CONCOREZZO;20863;MB;ITALIA;039/60441;NICOLA.BADIALI@EUROHOTELRESIDENCE.IT;55.10.0;Alberghi;;MARIANI;FRANCESCO;;;15-01-2019;14-01-2020
EUROHOTEL-RESIDENCE;5006880966;VIA MONZA, 27;CONCOREZZO;20863;MB;ITALIA;039/60441;NICOLA.BADIALI@EUROHOTELRESIDENCE.IT;55.10.0;Alberghi;;MARIANI;FRANCESCO;;;15-01-2019;14-01-2020
EUROLAB  SRL;7583750968;VIA DEL LAVORO 32/34;BOVISIO-MASCIAGO;20813;MB;ITALIA;0362-1908045;virgilio@eurolab.mi.it;;;;PRUSSI;VIRGILIO;;;;
EUROSLOT TOOLS S.R.L.;6857260969;VIA DE GASPERI 10;MELZO;20066;MI;ITALIA;0235000558;PIETRO.PIZZOCRI@ES-TOOLS.IT;;;;PIZZOCRI;PIETRO;;;;
EUROTRANCIATURA SPA;05984370154;VIA CASCINA STELLA ROSA 48/50;BARANZATE;20021;MI;ITALIA;02.350001;eurotranciatura@eurotranciatura.it;;;;;;;;;
EVENTHINK SRL;04036330241;VIA VICENZA 19;ALTAVILLA VICENTINA;36077;VI;ITALIA;;;70.22.09;Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;;DIOTTI;DANIELA;;;21-09-2018;20-09-2019
EVENTI TELEMATICI;12592970151;VIA LAZIO,7 - MILANO;MILANO;20100;MI;ITALIA;02 97069084;direzione@;;;;;;;;;
EXCELSIOR GALLIA S.R.L;43267573598;P.ZZA DUCA D'AOSTA,9 MILANO;MILANO;20100;MI;ITALIA;;Maurizio.Busani@luxorycollection.com;;;;RIBAUDO;FEDERICO;;;;
F.C.D. ENOTRIA 1908;06931680158;VIA CARLO CAZZANIGA 26;MILANO;20132;MI;ITALIA;022593027;amministrazione@enotria.it;19.13.10;;;MEZZENA;GIACOMO;;;22-05-2018;21-05-2019
F.M. FIGHTING ASD;11153080962;V.LE LOMBARDIA 27;BRUGHERIO;20861;MB;ITALIA;3515880736;frankmonza2015@gmail.com;93.19.1;Enti e organizzazioni sportive, promozione di eventi sportivi;;COSTANTINO;FLAVIA;;;10-06-2021;10-06-2022
FACTORY SERVICE;09363350969;VIA MAGENTA, 7;MONZA;20900;MB;ITALIA;3701086755;CAFMONZASANCARLO@GMAIL.COM;;;;ZABATTA;ELISABETTA;;;10-05-2019;09-05-2020
FAD FLANGE ACCIAIO E DERIVATI SPA;00763980968;VIA BONESCHI, 1;CAMBIAGO;20040;MI;ITALIA;02/959420;t.garavelli@fadflange.it;255000;;;SALA;ANTONIO;DE FAZIO MICHELA;m.defazio@fadflange.it;;
FALDUTO FRATELLI;02169030968;;MONZA;20900;MB;ITALIA;039.2002302;info@faldutofratelli.it;;;;;;;;;
FARINA SRL;00691970966;VIA B. CREMAGNANI, 54;VIMERCATE;20871;MB;ITALIA;;;;;;FARINA;GIANFRANCO;;;;
FARINA SRL;00691970966;VIA B. CREMAGNANI, 54;VIMERCATE;20871;MB;ITALIA;;;;;;FARINA;GIANFRANCO;;;;
FARMACIA AMBROSIANA;00011111145;VIA MARCONI,9;LESMO;20855;MB;ITALIA;;;;;;REDAELLI;ALESSIA;;;;
FARMACIA CACCIA SAS;10564390960;VIA BELLUSCO 1;ORNAGO;20876;MB;ITALIA;;farmaciacaccia58@gmail.com;;;;SPADA;CLAUDIO;;;08-06-2021;08-06-2022
FARMACIA CENTRALE SNC;02593060961;P.ZA BATTISTI, 22;BRUGHERIO;20861;MB;ITALIA;0392142046;p.molgaro@farmaciain.it;;;;MOLGARO;POALO PIERO;;;26-09-2018;25-09-2019
FARMACIA DOTT.CARLO MOTTA;00406990960;VIA FELICE CAVALLOTTI 137;MONZA;20900;MB;ITALIA;039/740183;info@farmaciamotta.com;47.73.10;Farmacie;;MOTTA;CARLO;;;05-06-2018;04-06-2019
FARMACIA MAURI SNC;06284510960;VIA DEI CAPITANI, 10;CONCOREZZO;20863;MB;ITALIA;039 6040534;info@farmaciamauri.com;47.73.10;Farmacie;;MAURI;ENRICO;;;14-06-2018;13-06-2019
FARMACIA RISORGIMENTO;5501660962;VIA RISORGIMENTO 90;CINISELLO BALSAMO;20092;MI;ITALIA;;;;;;PARLOTTA;MASSIMO;;;;
FARMACIA SAN ROCCO;04127310961;VIA SAN ROCCO 30;MONZA;20900;MB;ITALIA;039 2004263;farmaciasanroccomonza@gmail.com;47.73;Commercio al dettaglio di medicinali in esercizi specializzati;;BIGNAMI;ANGELO;;;16-05-2022;16-05-2023
FARMACIA VERBANIA SRL DI NORATA;02703130035;CORSO BELVEDERE 195;GHIFFA;28823;VB;ITALIA;032359108;farmaghiffavb@gmail.com;47.73.1;Farmacie;;NORATA;GIANLIBORIO;;;;
FASTWEB SPA;02528200427;PIAZZA OLIVETTI, 1;MILANO;20139;MI;ITALIA;0245454695;info.pesaro@stratosrl.it;47.42;Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati;;POLETTI;ANNMARIA;;;29-03-2019;29-03-2020
FATTORE ITALIA SRL;08581970962;VIA DEGLI OLIVETANI 10;MILANO;20100;MI;ITALIA;0262071;fom@tocq.it;;;;PATRUNO;GIANLUCA;;;29-09-2018;28-09-2019
FD VIAGGI SAA;08915590965;VIALE ROMAGNA, 33;MONZA;20900;MB;ITALIA;039-2148008;monza.romagna@bluvacanze.it;;;;D'ALESSANDRO;FEDERICA;;;;
FD VIAGGI SAA;08915590965;VIALE ROMAGNA, 33;MONZA;20900;MB;ITALIA;039-2148008;monza.romagna@bluvacanze.it;;;;D'ALESSANDRO;FEDERICA;;;;
FEDELE AMMINISTRAZIONI CONDOMINIALI;;VIA CONFALONIERI,65;VILLASANTA;20852;MB;ITALIA;039-2054173;infostudioeffeci@yahoo.it;;;;FEDELE;ANTONIO;;;;
FEDERCHIMICA-FEDERAZIONE NAZIONALE DELL'INDUSTRIA CHIMICA;80036210153;VIA GIOVANNI DA PROCIDA, 11;MILANO;20100;MI;ITALIA;02345651;federchimica@federchimica.it;;;;BENEDETTI;CLAUDIO;;;22-03-2021;22-03-2022
FEDERICO RATTI;02872620964;VIA TOMMASO GROSSI 6;MONZA;20900;MB;ITALIA;0382802551;s.casati@studiopontiratti.it;69.20.11;Servizi forniti da dottori commercialisti;;RATTI;FEDERICO;RATTI FEDERICO;f.ratti@studiopontiratti.it;12-04-2022;12-04-2023
FEDERICO RATTI;02872620964;VIA TOMMASO GROSSI 6;MONZA;20900;MB;ITALIA;0382802551;s.casati@studiopontiratti.it;69.20.11;Servizi forniti da dottori commercialisti;;RATTI;FEDERICO;RATTI FEDERICO;f.ratti@studiopontiratti.it;12-04-2022;12-04-2023
FERRARIO STEFANIA- STUDIO FISIOTERAPICO;02654620968;VIA SAN RAINALDO, 38;CONCOREZZO;20863;MB;ITALIA;3295440615;STEFANIA.FERRARIO@GMAIL.COM;;;;FERRARIO;STEFANIA;;;15-06-2021;15-06-2022
FERTUNA SOCIETA' AGRICOLA;01153440530;S.P AURELIA ANTICA;GAVORRANO;58040;GR;ITALIA;056688138;info@fertuna.it;01.1;COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI;;MEREGALLI;GIUSEPPE;RIVELLA PAOLO;paolo.rivella@fertuna.it  3337115048;26-02-2021;25-02-2022
FIDA SRL;11439920155;VIA VOLTURNO, 135;BRUGHERIO;20861;MB;ITALIA;039878733;VALERIA.QUADRIO@FIDA.IT;27.90.09;Fabbricazione di altre apparecchiature elettriche nca;;QUADRIO;SIMONE;;;13-06-2019;13-06-2020
FIERA MONZA E BRIANZA;5925540964;VIA AZZONE VISCONTI, 45;MONZA;20900;MB;ITALIA;0392329665;Pizzo:elisa@yahoo.it;;;;PIZZO;ELISA;;;;
FINDOMESTIC BANCA SPA;03562770481;VIA JACOPO DA DIACCETO, 48;Firenze;50123;FI;ITALIA;;f.collini@findomestic.com;;;;LORENZA;LORENZA;;;06-06-2018;05-06-2019
FINESTRA SUL MONDO DI NICOLETTA ARTINA;8914870962;VIA CARLO ROTA, 27 B;MONZA;20052;MI;ITALIA;399402053;info@finestrasulmondo.com;;;;ARTINA;NICOLETTA;;;10-01-2018;09-01-2019
FIORDILANA DI HAUGLI HEIDI;04815190964;VIA F. CONFALONIERI 83;VILLASANTA;20852;MB;ITALIA;395160100;heidi@fiordilana.it;;;;HAUGLI;HEIDI;;;;
FLORICOLTURA ANGELO RADAELLI S.A.S.;00916890965;VIA DANTE ALIGHIERI, 17;MONZA;20900;MB;ITALIA;039650131; info@radaelligarden.it;43.12.00;Preparazione del cantiere edile e sistemazione del terreno;;CAVENAGHI;WALTER MARIO;CAVENAGHI WALTER  MARIO;Floricoltura Angelo Radaelli S.a.s.;08-06-2021;12-06-2022
FLORICOLTURA BRIANTEA SRL;00773250964;VIA ADDA, 18;BELLUSCO;20882;MB;ITALIA;039 6021811;f.briantea@gmail.com;47.78.9;Commercio al dettaglio di altri prodotti non alimentari;;ARLATI;ENRICO;ARLATI ENRICO;fbriantea@gmail.com;04-06-2021;04-06-2022
FLORICOLTURA GAVAZZI ENRICO E ANNA SOCIETA’ AGRICOLA;04442280964;VIA CORRIDONI 74;BRUGHERIO;20861;MB;ITALIA;338 2021128;enricogavazzi@libero.it;01.19.1;Coltivazione di fiori in piena aria;;GAVAZZI;ENRICO;;;12-05-2018;11-05-2019
FLORICOLTURA LONGONI GIANMARIO;0313810962;STRADA VICINALE DELLA GRIFFALDA N°1;VIMERCATE;20871;MB;ITALIA;3483368535;longoni.mario51@gmail.com;01.19.20;Coltivazione di fiori in colture protette;;LONGONI;GIANMARIO;;;29-05-2018;28-06-2019
FLORICOLTURA LONGONI GIANMARIO;0313810962;STRADA VICINALE DELLA GRIFFALDA N°1;VIMERCATE;20871;MB;ITALIA;3483368535;longoni.mario51@gmail.com;01.19.20;Coltivazione di fiori in colture protette;;LONGONI;GIANMARIO;;;29-05-2018;28-06-2019
FLORICOLTURA S.S. DEI F.LLI COLOMBI SOC. AGR.;03110530965;VIA MANZONI 15;SULBIATE;20884;MB;ITALIA;039/623735;info@fondobrugarolo.it;56.10.12;Attività di ristorazione connesse alle aziende agricole;;;;;;;
FOCUS INFORMATICA;;;;;;ITALIA;;;;;;;;;;;
FONDAZIONE ALESSIO TAVECCHIO ONLUS;94572270158;VIA AZZONI VISCONTI 41;MONZA;20900;MB;ITALIA;0399634280;info@alessio.org;88.10.00;Assistenza sociale non residenziale per anziani e disabili;;TAVECCHIO;ALESSIO;PREZIOSI SEBASTIANO;sebastiano.preziosi@alessio.org;28-05-2021;31-05-2022
FONDAZIONE ALESSIO TAVECCHIO ONLUS;94572270158;VIA AZZONI VISCONTI 41;MONZA;20900;MB;ITALIA;0399634280;info@alessio.org;88.10.00;Assistenza sociale non residenziale per anziani e disabili;;TAVECCHIO;ALESSIO;PREZIOSI SEBASTIANO;sebastiano.preziosi@alessio.org;28-05-2021;31-05-2022
FONDAZIONE DELLA COMUNITÀ DI MONZA E BRIANZA ONLUS;94582420157;VIA GERARDO DEI TINTORIVIA GERARDO DEI TINTORI, 18;MONZA;20900;MB;ITALIA;039 3900942;lucia.mussi@fondazionemonzabrianza.org;;;;FONTANA;GIUSEPPE;FONTANA GIUSEPPE;;26-11-2021;26-11-2022
FONDAZIONE DON ANGELO BELLANI ONLUS;00987520962;VIA LIPARI 7;MONZA;20900;MB;ITALIA;0392097204;ragioneria@fondazionebellani.it;87.10.00;Strutture di assistenza infermieristica residenziale per anziani;;MASCHERONI;EUGENIO;COLOMBO EUGENIO;ragioneria@fondazionebellani.it;09-06-2021;09-06-2022
FONDAZIONE DON ANGELO BELLANI ONLUS;00987520962;VIA LIPARI 7;MONZA;20900;MB;ITALIA;0392097204;ragioneria@fondazionebellani.it;87.10.00;Strutture di assistenza infermieristica residenziale per anziani;;MASCHERONI;EUGENIO;COLOMBO EUGENIO;ragioneria@fondazionebellani.it;09-06-2021;09-06-2022
FONDAZIONE MASSIMO BRIGATTI;85012510153;VIALE PETRARCA 10;MONZA;20900;MB;ITALIA;;;Codice Ateco 2007;Descrizione;;DI CANOSSA;ALVISE;;;;
FONDAZIONE MONZA E BRIANZA PER IL BAMBINO E LA SUA MAMMA ONLUS;06252940967;VIA PERGOLESI 33;MONZA;20900;MB;ITALIA;0392332618;aborghi@fondazionembbm.it;;;;MANNUCCI;PIER MANNUCCIO;;;12-05-0022;12-05-2023
FONDAZIONE STEFANIA  ONLUS;05482120960;VIA FABIO FILZI,2;LISSONE;20851;MB;ITALIA;0392456003;alternanza@fondazionestefania.it;;;ONLUS;GARIBOLDI;CHIARELLA;;;;
FONDAZIONE STEFANIA ONLUS;;VIA FABIO FILZI, 2;LISSONE;20851;MB;ITALIA;0392456003;centrodiurno@fondazionestefania.it;;;;GARIBOLDI;CHIARELLA;;;;
FOOD LIFESTYLE SRL;09900420960;VIA PETRELLA,21;MILANO;20100;MI;ITALIA;;;;;;BARICHELLA;PAOLO;;;;
FOODAROM GERMANY GMBH;10195660963;VIA SANTA VALERIA 52;SEREGNO;20831;MB;ITALIA;036 2024328;lerodriguez@foodarom.com;74.90.93;Altre attività di consulenza tecnica nca;;PIERRE;MICLETTE;;;15-03-2022;15-03-2023
FORMA CLUB SAS DI BERETTA D E SALA F;00850950965;VIA A. VESPUCCI 40;VILLASANTA;20852;MB;ITALIA;3387487677;info@formaclub.it;;;S.A.S.;BERETTA;DONATELLA;BERETTA DONATELLA;info@formaclub.it;22-06-2021;21-06-2022
FORMA CLUB SAS DI BERETTA D E SALA F;00850950965;VIA A. VESPUCCI 40;VILLASANTA;20852;MB;ITALIA;3387487677;info@formaclub.it;;;S.A.S.;BERETTA;DONATELLA;BERETTA DONATELLA;info@formaclub.it;22-06-2021;21-06-2022
FORMENTI DARIO AZ AGR (EFFEGARDEN);09835010159;VIA OLMO 154;CERNUSCO SUL NAVIGLIO;20063;MI;ITALIA;029240641;effegarden@effegarden.it;01.1;COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI;;FORMENTI;DARIO;;;23-03-2022;23-03-2023
FOTODIGITALDISCOUNT DI FABRIZIO LOCATI;03263920138;VIA F. GILERA 50;ARCORE;20862;MB;ITALIA;;fotoarcore@gmail.com;477820;Commercio al dettaglio di materiale per ottica e fotografia;;LOCATI;FABRIZIO;;;26-09-2018;25-09-2019
FOTOMONZA DI MASSIMO CORVINO;07267310964;VIA BORGAZZI 13;MONZA;20900;MB;ITALIA;0395962137;fddmonza@gmail.com;47.78.2;Commercio al dettaglio di materiale per ottica e fotografia;;CORVINO;MASSIMO;;;13-07-2018;
FPZ SPA;05933070962;VIA F.LLI CERVI 16;CONCOREZZO;20863;MB;ITALIA;;;28.13.00;Fabbricazione di altre pompe e compressori;;FERIGO;SERGIO ETTORE;;;;
FRATELLI RIBOLDI - SOCIETA' AGRICOLA;00932090962;VIA L. CAGNOLA 79;TRIUGGIO;20844;MB;ITALIA;3485496743;fattorianelverde@pec.coldiretti.it;;;;RIBOLDI;ETTORE;;;16-01-2019;16-01-2020
FRESCHI MONACI SRL;09227750966;VIA LODIGIANA N°31;BRUGHERIO;20861;MB;ITALIA;039870540;raffaella@caseramonaci.com;;;;MONACI;ROBERTO;;;24-04-2018;23-04-2019
FRESCHI MONACI SRL;09227750966;VIA LODIGIANA N°31;BRUGHERIO;20861;MB;ITALIA;039870540;raffaella@caseramonaci.com;;;;MONACI;ROBERTO;;;24-04-2018;23-04-2019
FRIESLANDCAMPINA ITALY SRL;07338171007;VIA PARACELSO 18  CENTRO COLLEONI;AGRATE BRIANZA;20864;MB;ITALIA;;alessandro.belloli@frieslandcampina.com;;;;ROSIELLO;ALESSANDRO;;;;
FVR SRL;05068970267;VIALE BRIANZA 1;MONZA;20900;MB;ITALIA;0276317984;banchetti@castelbrando.it;56.10.11;;;FORTI;MARCELLO;;;;
FVR SRL;05068970267;VIALE BRIANZA 1;MONZA;20900;MB;ITALIA;0276317984;banchetti@castelbrando.it;56.10.11;;;FORTI;MARCELLO;;;;
G.A.R. S.R.L.  - HOTEL CAPPELLO D'ORO;00873260160;V.LE PAPA GIOVANNI XXIII 12;BERGAMO;24100;BG;ITALIA;035 42 22 711;cappellodoro.bg@bestwestern.it;55.10;Alberghi e strutture simili;;ZAMBONELLI;CORRADO;;;;
G.R.A.I.A. SRL;10454870154;VIA REPUBBLICA 1;VARANO BORGHI;21020;VA;ITALIA;0332961097;silvia.montonati@graia.eu;;;;GENTILI;GAETANO;;;10-05-2022;10-05-2023
GALLERIA BORGHESE;97855270589;PIAZZALE SCIPIONE BORGHESE 5;ROMA;00197;RM;ITALIA;068413979;ga-bor@beniculturali.it;91.02.00;Attività di musei;;CAPPELLETTI;FRANCESCA;;;;
GALLO ANDREA;09685730963;VIA MINO REITANO 52;AGRATE BRIANZA;20864;MB;ITALIA;0392876087;andrea.gallo@studiogandrea.com;69.20.11;Servizi forniti da dottori commercialisti;;GALLO;ANDREA;;;19-02-2019;18-02-2020
GAR SRL;873260160;VIALE PAPA GIOVANNI XXIII, 12;BERGAMO;24100;BG;ITALIA;354422711;caporicevimento@hotelcappellodoro.it;55.10;Alberghi e strutture simili;;ZAMBONELLI;CORRADO;;;29-09-2018;28-09-2019
GATTA CI COVA;11172490960;VIA MARCO D’AGRATE 23;MONZA;20900;MB;ITALIA;0396771683;gattacicovamonza@gmail.com;96.09.04;Servizi di cura degli animali da compagnia (esclusi i servizi veterinari);;BIANCHI;SONIA GIORGIA;BIANCHI SONIA;gattacicovamonza@gmail.com;21-05-2021;23-05-2022
GATTACA VIAGGI S.R.L.;04473370965;VIA GIAN BATTISTA VICO 4;MILANO;20100;MI;ITALIA;;info.gattacaviaggi@frigerioviaggi.com;;;;SABATINI;MARINA;;;;
GATTINONI TRAVEL NETWORK;IT02042680138;VIA CARLO ALBERTO,30;MONZA;20900;MB;ITALIA;0341 292711;risorseumane@gattinoni.it;;;;GATTINONI;FRANCO;;;10-01-2018;09-01-2019
GATTINONI TRAVEL NETWORK;IT02042680138;VIA CARLO ALBERTO,30;MONZA;20900;MB;ITALIA;0341 292711;risorseumane@gattinoni.it;;;;GATTINONI;FRANCO;;;10-01-2018;09-01-2019
GAVIRAGHI GIUSEPPE SNC;02348360963;VIA PASCOLI 1;CONCOREZZO;20863;MB;ITALIA;0396040461;info@gaviraghi.it;46.33.2;Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale;;GAVIRAGHI;ANDREA AGOSTINO;CASORIO ANTONIO;;10-05-2019;09-05-2020
GDF HOTEL SRL;08702880967;VIA LUCIO GIUNIO COLUMELLA, 36;MILANO;20128;MI;ITALIA;;h9379@accor.com;55.10.00;Alberghi;SRL;DELLA FRERA;GUIDO;;;21-01-2019;21-01-2020
GDF HOTEL SRL;08702880967;VIA LUCIO GIUNIO COLUMELLA, 36;MILANO;20128;MI;ITALIA;;h9379@accor.com;55.10.00;Alberghi;SRL;DELLA FRERA;GUIDO;;;21-01-2019;21-01-2020
GEA PROCESS ENGINEERING S.P.A.;IT02156020345;CENTRO DIREZIONALE MILANO 2, PALAZZO CANOVA;SEGRATE;20090;MI;ITALIA;02 21010611;info.pe.it@gea.com;;;;MELE;STEFANO;;;17-05-2018;16-05-2019
GEO TREND SAS;07778870969;VIA PIERMARINI 3;MONZA;20900;MB;ITALIA;;;;;;;;;;;
GEOM. FABIO MOLTENI STUDIO DI PROGETTAZIONE;02235040967;VIA SPALTO PIODO,12;MONZA;20900;MB;ITALIA;039-2304350;studiomolteni@gmail.com;74.20;Attività fotografiche;;MOLTENI;FABIO;;;;
GEOM.D'ANGELLA GIUSEPPE;0000000000007;VIA CARDUCCI, 7;CARNATE;20866;MB;ITALIA;;;;;;D'ANGELLA;GIUSEPPE;;;;
GEOMETRA DARIO RADAELLI;4328850963;VIA DELLE RIMENBRANZE,6;VIMERCATE;20871;MB;ITALIA;;;;;;RADAELLI;DARIO;;;;
GESIS SRL;00977960962;CENTRO DIREZIONALE COLLEONI PAL. ASTROLABIO- VIA CARDANO,2;AGRATE BRIANZA;20864;MB;ITALIA;03965732218;mirabile@studioteruzzi.it;;;;TERUZZI;FRANCESCO;;;10-09-2021;09-09-2022
GESTIONE AREE VERDI DI MARTINELLI GIOVANNI;00393810965;VIA A. DE ANTICHI, 1;MONZA;20900;MB;ITALIA;039736318;info@gestioneareeverdi.it;01.19.1;Coltivazione di fiori in piena aria;;MARTINELLI;GIOVANNI;;;06-06-2019;06-06-2020
GHEZZI MARCO;03103160135;VIA BERGAMO, 30;MERATE;23807;LC;ITALIA;0399907044;amministrazione.ghezzi@gmail.com;66.22.02;Agenti di assicurazioni;;GHEZZI;MARCO;;;03-06-2021;03-06-2022
GHEZZI MARCO;03103160135;VIA BERGAMO, 30;MERATE;23807;LC;ITALIA;0399907044;amministrazione.ghezzi@gmail.com;66.22.02;Agenti di assicurazioni;;GHEZZI;MARCO;;;03-06-2021;03-06-2022
GI.RONCHI S.R.L.;02229840968;VIA GUIDO ROSSA 39 CONCOREZZZO;CONCOREZZO;20863;MB;ITALIA;039/6040034;GIRONCHI@GIRONCHI.IT;;;;RONCHI;GIACOMO;;;22-05-2018;21-05-2019
GIACCHE VERDI LOMBARDIA ONLUS;90009710188;VIA LOTARIO 1°  N° 32/4;CORTEOLONA;27014;PV;ITALIA;3397117565;info@giaccheverdilombardia.it;;;;SCABIOLI;GIUSEPPE;;;;
GIADINI BORROMEO SRL;02453820967;VIA PIAVE, 12;VIMERCATE;20871;MB;ITALIA;039 669004;progetti@vivaiborromeo.it;81.3;CURA E MANUTENZIONE DEL PAESAGGIO;;BORROMEO;ALESSANDRO;;;30-05-2018;29-05-2019
GIAMBELLI S.P.A.;00744590969;VIA TRENTO,64 - VIMERCATE;VIMERCATE;20871;MB;ITALIA;039-60261;giambelli@giambelli.it;41.20.00;Costruzione di edifici residenziali e non residenziali;SPA;MICHELE GIAMBELLI;MICHELE;;;11-01-2018;10-01-2019
GISELLA GUARNIERI SAS;13115300157;VIA DANIELE MANIN 45;BRUGHERIO;20861;MB;ITALIA;039/2872480;gisellaguarnierisas@gmail.com;829904;;SOCIETÀ IN ACCOMANDITA SEMPLICE;GUARNIERI;GISELLA;;;30-08-2021;29-08-2022
GIUSEPPE PELLICANO GEOMETRA;02650400969;VIA ANGELO FARINA, 9;VILLASANTA;20852;MB;ITALIA;3356870138;giuseppe@pellikano.it;;;;PELLICANO;GIUSEPPE;PELLICANO GIUSEPPE;giuseppe@pellikano.it;;
GLOB S.N.C. DI COLZANI LUIGIA E ANNESE GIUSEPPE & C.;02264580966;VIA DELLA VITTORIA, 53;BRUGHERIO;20861;MB;ITALIA;039-6892922;amministrazione@globsnc.com;22.19.09;;;ANNESE;GIUSEPPE;;;08-01-2019;08-01-2020
